"filename", "language", "Dart", "comment", "blank", "total"
"d:\shoecloud\lib\api\login.dart", "Dart", 22, 27, 5, 54
"d:\shoecloud\lib\api\shoeInfo.dart", "Dart", 41, 21, 8, 70
"d:\shoecloud\lib\api\userInfo.dart", "Dart", 15, 24, 4, 43
"d:\shoecloud\lib\components\Home\addNewShoe\expandableCategoryBar.dart", "Dart", 7, -2, 0, 5
"d:\shoecloud\lib\components\Home\addNewShoe\shoeInfoMin.dart", "Dart", 22, -1, -1, 20
"d:\shoecloud\lib\components\Home\addNewShoe\shoeInfo_Add\bindNFCBottom.dart", "Dart", 86, -5, -2, 79
"d:\shoecloud\lib\components\Home\addNewShoe\shoeInfo_Add\infoCard.dart", "Dart", 54, 0, 1, 55
"d:\shoecloud\lib\components\Home\normal\addNewShoeBottom.dart", "Dart", 3, 2, 1, 6
"d:\shoecloud\lib\components\Home\normal\expandableCategoryBar.dart", "Dart", 39, 3, 1, 43
"d:\shoecloud\lib\components\Home\normal\shoeOverviewCard.dart", "Dart", 73, 0, 1, 74
"d:\shoecloud\lib\components\Home\shoeInfo_user\shoeDetailList.dart", "Dart", 62, 1, 5, 68
"d:\shoecloud\lib\components\Home\shoeInfo_user\shoeFeatureTags.dart", "Dart", 40, 1, 5, 46
"d:\shoecloud\lib\components\Home\shoeInfo_user\shoeHeroHeader.dart", "Dart", 54, 1, 4, 59
"d:\shoecloud\lib\components\Home\shoeInfo_user\shoeStatsGrid.dart", "Dart", 69, 2, 5, 76
"d:\shoecloud\lib\components\Login\loginFields.dart", "Dart", 140, 9, 13, 162
"d:\shoecloud\lib\components\My\featuresLine.dart", "Dart", 11, 1, 0, 12
"d:\shoecloud\lib\components\My\featuresSquare.dart", "Dart", 9, 0, 0, 9
"d:\shoecloud\lib\components\My\userInfo.dart", "Dart", 64, 8, 2, 74
"d:\shoecloud\lib\components\Social\socialCard.dart", "Dart", 52, 2, 2, 56
"d:\shoecloud\lib\components\common\clickableWrapper.dart", "Dart", 7, 0, 0, 7
"d:\shoecloud\lib\components\common\showComingSoonDialog.dart", "Dart", 64, 4, 5, 73
"d:\shoecloud\lib\constants\index.dart", "Dart", 3, 0, 0, 3
"d:\shoecloud\lib\nfc\bind.dart", "Dart", -25, -5, -7, -37
"d:\shoecloud\lib\nfc\nfc_manager.dart", "Dart", 62, 18, 15, 95
"d:\shoecloud\lib\nfc\writeToNFC.dart", "Dart", 51, 16, 13, 80
"d:\shoecloud\lib\pages\Home\addNewShoe.dart", "Dart", 6, 0, 0, 6
"d:\shoecloud\lib\pages\Home\index.dart", "Dart", 49, 6, 7, 62
"d:\shoecloud\lib\pages\Home\shoeInfo_Add.dart", "Dart", 59, 2, 2, 63
"d:\shoecloud\lib\pages\Home\shoeInfo_User.dart", "Dart", 29, -1, -1, 27
"d:\shoecloud\lib\pages\Login\index.dart", "Dart", 99, 16, 16, 131
"d:\shoecloud\lib\pages\Main\index.dart", "Dart", 26, -3, -4, 19
"d:\shoecloud\lib\pages\My\index.dart", "Dart", 35, 3, 3, 41
"d:\shoecloud\lib\pages\Privacy\index.dart", "Dart", 86, 3, 6, 95
"d:\shoecloud\lib\pages\Privacy\policyContent.dart", "Dart", 225, 7, 23, 255
"d:\shoecloud\lib\pages\Social\Opensource.dart", "Dart", 0, 0, 2, 2
"d:\shoecloud\lib\pages\Social\index.dart", "Dart", 8, 3, 2, 13
"d:\shoecloud\lib\pages\Social\shoeKnowledge.dart", "Dart", 0, 0, 2, 2
"d:\shoecloud\lib\pages\Social\shoeReviews.dart", "Dart", 0, 0, 2, 2
"d:\shoecloud\lib\pages\developing.dart", "Dart", 98, 7, 8, 113
"d:\shoecloud\lib\routes\index.dart", "Dart", 4, 0, 0, 4
"d:\shoecloud\lib\stores\tokenManager.dart", "Dart", 40, 5, 10, 55
"d:\shoecloud\lib\stores\userController.dart", "Dart", 13, 2, 4, 19
"d:\shoecloud\lib\utils\DioRequest.dart", "Dart", 8, 3, 2, 13
"d:\shoecloud\lib\utils\TimeUtils.dart", "Dart", 25, 3, 6, 34
"d:\shoecloud\lib\viewmodels\shoeInfo.dart", "Dart", 90, 3, 6, 99
"d:\shoecloud\lib\viewmodels\userInfo.dart", "Dart", 128, 13, 21, 162
"d:\shoecloud\lib\viewmodels\userLogin.dart", "Dart", 23, 1, 2, 26
"Total", "-", 2076, 200, 199, 2475
